,,MXWD,MXEF,MXWO,IBOV,VIX,TIPS
We,02/01/1991,113.53,183.83,461.52,0.03,26.62,
Tu,01/01/1991,113.56,185.16,461.53,,,
Mo,31/12/1990,113.56,185.16,461.53,0.03,26.38,
,,,,,,,
Fr,28/12/1990,113.64,184.85,461.84,0.03,25.05,
Th,27/12/1990,112.81,183.48,458.45,0.03,24.81,
We,26/12/1990,112.96,182.83,459.13,0.02,24.18,
Tu,25/12/1990,113.18,183.09,459.95,,,
Mo,24/12/1990,113.19,183.59,459.95,0.03,24.03,
,,,,,,,
Fr,21/12/1990,113.81,185.24,462.42,0.03,22.66,
Th,20/12/1990,115.25,186.16,468.38,0.03,23.13,
We,19/12/1990,116.52,187.46,473.61,0.02,23.08,
Tu,18/12/1990,116.27,186.37,472.65,0.02,23.11,
Mo,17/12/1990,115.26,186.84,468.52,0.02,24.85,
,,,,,,,
Fr,14/12/1990,116.49,192.41,473.37,0.02,23.85,
Th,13/12/1990,117.69,192.74,478.29,0.02,23.05,
We,12/12/1990,116.87,191.44,474.96,0.02,21.28,
Tu,11/12/1990,116.45,192.32,473.2,0.02,23.75,
Mo,10/12/1990,116.72,193.62,474.37,0.03,23.58,
,,,,,,,
Fr,07/12/1990,116.41,192.38,473.1,0.03,22.59,
Th,06/12/1990,114.62,189.4,465.89,0.03,22.62,
We,05/12/1990,112.7,186.24,458.03,0.03,20.94,
Tu,04/12/1990,111.6,183.16,453.66,0.03,22.03,
Mo,03/12/1990,112.17,183.89,455.91,0.03,22.29,
,,,,,,,
Fr,30/11/1990,111.44,178.96,453.05,0.03,22.16,
Th,29/11/1990,111.78,180.09,454.35,0.03,23.91,
We,28/11/1990,112.94,182.82,458.93,0.03,22.96,
Tu,27/11/1990,113.95,182.15,463.07,0.03,22.86,
Mo,26/11/1990,114.06,183.84,463.45,0.03,22.76,
,,,,,,,
Fr,23/11/1990,114.37,187.73,464.66,0.03,20.98,
Th,22/11/1990,114.43,189.87,464.83,0.03,,
We,21/11/1990,113.4,189.8,460.59,0.03,21.09,
Tu,20/11/1990,113.6,189.44,461.41,0.03,20.09,
Mo,19/11/1990,114.54,189.6,465.34,0.02,20.95,
,,,,,,,
Fr,16/11/1990,113.01,186.93,459.16,0.02,21.34,
Th,15/11/1990,113.29,186.53,460.31,,22.57,
We,14/11/1990,113.98,185.29,463.21,0.02,22.89,
Tu,13/11/1990,114.26,184.66,464.47,0.02,24.58,
Mo,12/11/1990,112.82,183.12,458.6,0.02,25.6,
,,,,,,,
Fr,09/11/1990,111.65,183.69,453.69,0.02,26.96,
Th,08/11/1990,110.88,184.78,450.51,0.02,30.79,
We,07/11/1990,112.51,186.05,457.2,0.02,30.87,
Tu,06/11/1990,113.96,185.29,463.15,0.02,29.11,
Mo,05/11/1990,114.68,188.03,465.99,0.02,29.85,
,,,,,,,
Fr,02/11/1990,113.12,187.11,459.66,,30.03,
Th,01/11/1990,112.29,187.43,456.22,0.02,30.25,
We,31/10/1990,113.62,189.25,461.64,0.02,30.04,
Tu,30/10/1990,113.63,192.22,461.55,0.02,30.52,
Mo,29/10/1990,114.73,195.19,466.02,0.02,31.54,
,,,,,,,
Fr,26/10/1990,115.08,195.29,467.48,0.02,30.75,
Th,25/10/1990,117.23,197.94,476.29,0.02,29.04,
We,24/10/1990,116.64,197.76,473.9,0.02,28.28,
Tu,23/10/1990,117.35,195.7,476.82,0.02,27.57,
Mo,22/10/1990,117.59,193.38,477.95,0.02,27.27,
,,,,,,,
Fr,19/10/1990,116.39,189.31,473.16,0.02,27.86,
Th,18/10/1990,114.75,189.32,466.37,0.02,29.6,
We,17/10/1990,112.91,190.16,458.8,0.02,31.37,
Tu,16/10/1990,111.74,190.19,454.06,0.02,31.45,
Mo,15/10/1990,111.75,190.78,454.12,0.02,31.64,
,,,,,,,
Fr,12/10/1990,110.25,189.81,448.04,0.02,31.94,
Th,11/10/1990,108.93,190.17,442.59,0.02,33.98,
We,10/10/1990,111.12,191.61,451.54,0.02,31.19,
Tu,09/10/1990,112.13,195.21,455.55,0.02,30.71,
Mo,08/10/1990,113.76,197.22,462.14,,28.04,
,,,,,,,
Fr,05/10/1990,110.86,195.66,450.21,0.02,27.85,
Th,04/10/1990,109.7,196.66,445.45,0.02,27.51,
We,03/10/1990,109.71,199.03,445.39,,27.9,
Tu,02/10/1990,110.01,198.46,446.82,0.02,27.28,
Mo,01/10/1990,105.86,193.48,429.85,0.02,28.06,
,,,,,,,
Fr,28/09/1990,104.28,193.09,423.14,0.02,29.11,
Th,27/09/1990,104.77,193.96,425.22,0.02,28.67,
We,26/09/1990,105.72,195.68,429.11,0.02,28.19,
Tu,25/09/1990,107.73,197.88,437.4,0.02,28.81,
Mo,24/09/1990,108.91,202.04,442.19,0.02,30.56,
,,,,,,,
Fr,21/09/1990,109.67,205.22,445.27,0.03,30.04,
Th,20/09/1990,109.97,207.28,446.52,0.03,28.66,
We,19/09/1990,111.81,209.25,454.01,0.02,27.88,
Tu,18/09/1990,113.27,210.81,460.01,0.02,28.82,
Mo,17/09/1990,114.14,211.17,463.66,0.02,29.55,
,,,,,,,
Fr,14/09/1990,114.92,212.69,466.84,0.02,30.56,
Th,13/09/1990,115.2,214.48,467.85,0.03,29.33,
We,12/09/1990,116.31,215.51,472.38,0.02,28.12,
Tu,11/09/1990,114.35,215.4,464.35,0.02,28.38,
Mo,10/09/1990,115.67,217.27,469.71,0.02,29.34,
,,,,,,,
Fr,07/09/1990,114.27,217.08,464.02,,28.73,
Th,06/09/1990,113.86,216.96,462.41,0.02,30.19,
We,05/09/1990,114.68,219.3,465.67,0.02,28.52,
Tu,04/09/1990,114.83,220.86,466.21,0.02,29.58,
Mo,03/09/1990,115.73,223,469.9,0.02,,
,,,,,,,
Fr,31/08/1990,116.75,221.94,474.13,0.03,29.9,
Th,30/08/1990,116.34,220.91,472.55,0.03,29.89,
We,29/08/1990,116.1,219.84,471.58,0.03,27.38,
Tu,28/08/1990,116.88,220.79,474.72,0.03,29.12,
Mo,27/08/1990,115.45,212.71,469.19,0.03,29.63,
,,,,,,,
Fr,24/08/1990,111.77,202.49,454.31,0.03,33.93,
Th,23/08/1990,110.35,204.47,448.34,0.03,36.47,
We,22/08/1990,114.05,213.06,463.28,0.02,30.55,
Tu,21/08/1990,115.73,221.53,469.88,0.03,28.9,
Mo,20/08/1990,117.76,227.23,478.08,0.03,26.46,
,,,,,,,
Fr,17/08/1990,118.28,232.94,480.16,0.03,27.53,
Th,16/08/1990,120.23,235.47,488.07,0.03,27.16,
We,15/08/1990,122.17,234.42,496.1,0.03,23.31,
Tu,14/08/1990,119.3,232.13,484.37,0.03,24.18,
Mo,13/08/1990,118.52,232.35,481.11,0.03,25.74,
,,,,,,,
Fr,10/08/1990,119.29,232.66,484.34,0.03,25.75,
Th,09/08/1990,120.3,231.26,488.54,0.03,24.39,
We,08/08/1990,120.35,236.26,488.45,0.03,28.27,
Tu,07/08/1990,119.91,234.86,486.81,0.03,32.75,
Mo,06/08/1990,120.43,243.46,488.57,0.03,35.91,
,,,,,,,
Fr,03/08/1990,124.07,253.14,503.28,0.03,28.74,
Th,02/08/1990,126.02,256.67,511.15,0.03,20.43,
We,01/08/1990,128.84,257.37,522.79,0.03,21.64,
Tu,31/07/1990,129.16,255.21,524.18,0.03,21.11,
Mo,30/07/1990,127.51,252.94,517.42,0.03,21.16,
,,,,,,,
Fr,27/07/1990,127.21,252.58,516.22,0.03,21.12,
Th,26/07/1990,128.09,252.93,519.77,0.03,20.26,
We,25/07/1990,129.17,253.23,524.18,0.03,20.19,
Tu,24/07/1990,129.18,252.08,524.21,0.03,21.79,
Mo,23/07/1990,129.62,252.24,526.05,0.03,23.68,
,,,,,,,
Fr,20/07/1990,131.27,251.6,532.85,0.03,15.63,
Th,19/07/1990,132.54,250.44,538.06,0.03,18.56,
We,18/07/1990,132.68,248.97,538.72,0.03,18.9,
Tu,17/07/1990,132.83,246.43,539.44,0.02,16.66,
Mo,16/07/1990,132.9,244.9,539.82,0.02,16.75,
,,,,,,,
Fr,13/07/1990,131.95,243.18,536.01,0.02,17.09,
Th,12/07/1990,130.54,241.6,530.27,0.02,17.06,
We,11/07/1990,130.03,240,528.28,0.02,16.68,
Tu,10/07/1990,129.08,237.43,524.49,0.02,16.92,
Mo,09/07/1990,129.45,238.04,525.96,0.02,16.66,
,,,,,,,
Fr,06/07/1990,129.09,238.23,524.42,0.02,16.41,
Th,05/07/1990,128.81,238.15,523.26,0.02,17.25,
We,04/07/1990,129.88,239.13,527.59,0.02,,
Tu,03/07/1990,129.02,238.63,524,0.02,16.11,
Mo,02/07/1990,128.76,237.28,522.96,0.02,16.26,
,,,,,,,
Fr,29/06/1990,128.12,235.14,520.41,0.02,15.5,
Th,28/06/1990,127.65,234.28,518.51,0.02,16.18,
We,27/06/1990,127.46,233.85,517.67,0.02,16,
Tu,26/06/1990,125.9,232.02,511.29,0.02,16.29,
Mo,25/06/1990,125.4,230.95,509.32,0.02,17.06,
,,,,,,,
Fr,22/06/1990,126.47,227.66,513.78,0.02,19.36,
Th,21/06/1990,127.21,228.22,516.76,0.02,14.72,
We,20/06/1990,127.21,226.48,516.8,0.01,15.27,
Tu,19/06/1990,126.83,224.86,515.29,0.01,15.23,
Mo,18/06/1990,126.95,223.56,515.82,0.01,17.71,
,,,,,,,
Fr,15/06/1990,127.76,223.85,519.08,0.01,15.9,
Th,14/06/1990,128.35,225.49,521.46,,17.4,
We,13/06/1990,128.06,226.93,520.26,0.01,17.38,
Tu,12/06/1990,128.1,228.03,520.38,0.01,16.6,
Mo,11/06/1990,127.41,228.41,517.54,0.01,16.34,
,,,,,,,
Fr,08/06/1990,127.96,230.25,519.72,0.02,17.58,
Th,07/06/1990,129.4,229.73,525.64,0.02,16.88,
We,06/06/1990,129.5,229.39,526.08,0.01,17.42,
Tu,05/06/1990,129.79,229.72,527.3,0.01,18.97,
Mo,04/06/1990,129.67,229.34,526.76,0.01,18.39,
,,,,,,,
Fr,01/06/1990,129.96,229.27,528,0.01,17.09,
Th,31/05/1990,129.24,227.6,525.1,0.01,17.37,
We,30/05/1990,129.53,227.3,526.35,0.01,17.44,
Tu,29/05/1990,129.04,227.4,524.34,0.01,18.75,
Mo,28/05/1990,128.75,227.99,523.13,0.01,,
,,,,,,,
Fr,25/05/1990,128.3,229.19,521.2,0.01,17.32,
Th,24/05/1990,127.93,228.54,519.71,0.02,17.7,
We,23/05/1990,128.3,229.8,521.16,0.01,17.18,
Tu,22/05/1990,127.79,229.48,519.04,0.01,17.84,
Mo,21/05/1990,126.65,226.13,514.41,0.01,16.72,
,,,,,,,
Fr,18/05/1990,126.85,224.22,515.31,0.01,17.2,
Th,17/05/1990,127.32,223.56,517.21,0.01,17.27,
We,16/05/1990,126.95,221.03,515.75,0.01,17.71,
Tu,15/05/1990,127.43,220.19,517.79,0.01,19.49,
Mo,14/05/1990,126.98,221.22,515.92,0.01,20.14,
,,,,,,,
Fr,11/05/1990,125.68,219.64,510.63,0.01,19.81,
Th,10/05/1990,122.8,218.69,498.81,0.01,18.59,
We,09/05/1990,122.75,217.95,498.55,0.01,18.64,
Tu,08/05/1990,122.3,219.12,496.48,0.01,18.49,
Mo,07/05/1990,122.02,218.97,495.35,0.02,17.65,
,,,,,,,
Fr,04/05/1990,120.14,217.16,487.7,0.02,17.28,
Th,03/05/1990,119.49,214.54,485.02,0.02,17.81,
We,02/05/1990,119.04,211.6,483.25,0.02,19.32,
Tu,01/05/1990,117.73,210.71,477.92,,18.43,
Mo,30/04/1990,117.24,210.66,475.92,0.02,19.52,
,,,,,,,
Fr,27/04/1990,117.11,210.97,475.41,0.02,22.19,
Th,26/04/1990,117.94,210.5,478.81,0.02,20.25,
We,25/04/1990,117.79,208.36,478.29,0.02,20.86,
Tu,24/04/1990,117.46,207.25,476.96,0.02,21.7,
Mo,23/04/1990,118.27,208.07,480.3,0.01,24.16,
,,,,,,,
Fr,20/04/1990,119.59,208.27,485.73,0.01,23.33,
Th,19/04/1990,120.07,208.63,487.6,0.01,22.46,
We,18/04/1990,119.24,207.13,484.28,0.01,22.67,
Tu,17/04/1990,118.81,205.46,482.56,0.01,20.38,
Mo,16/04/1990,118.84,203.45,482.81,0.01,20.75,
,,,,,,,
Fr,13/04/1990,119.68,202.54,486.28,,,
Th,12/04/1990,120.08,202.27,487.9,,19.8,
We,11/04/1990,119.6,202.01,485.97,0.01,17.73,
Tu,10/04/1990,119.47,199.61,485.51,0.01,21.69,
Mo,09/04/1990,120.84,197.66,491.2,0.01,22.3,
,,,,,,,
Fr,06/04/1990,119.24,197.92,484.67,0.01,21.76,
Th,05/04/1990,117.75,198.19,478.55,0.01,21.21,
We,04/04/1990,117.32,197.95,476.86,0.01,22.03,
Tu,03/04/1990,117.7,197.46,478.47,0.01,20.44,
Mo,02/04/1990,115.2,194.43,468.34,0.01,22.84,
,,,,,,,
Fr,30/03/1990,119,197.85,483.82,0.01,19.73,
Th,29/03/1990,120.39,197.3,489.54,0.01,18.46,
We,28/03/1990,120.28,199.51,489,0.01,19.77,
Tu,27/03/1990,121.37,201.83,493.34,0.01,21.01,
Mo,26/03/1990,121.01,202.37,491.91,0.01,19.59,
,,,,,,,
Fr,23/03/1990,119.28,201.08,484.93,0.01,20.46,
Th,22/03/1990,117.77,205.52,478.63,0.01,22.74,
We,21/03/1990,120.25,208.75,488.64,0.01,20.1,
Tu,20/03/1990,120.98,215.07,491.34,0.01,19.06,
Mo,19/03/1990,122.36,225.14,496.57,0.02,18.29,
,,,,,,,
Fr,16/03/1990,124.05,225.1,503.46,0.02,17.62,
Th,15/03/1990,123.12,223.9,499.7,0.02,18.81,
We,14/03/1990,122.89,224.16,498.76,0.02,19.65,
Tu,13/03/1990,123.27,224.28,500.35,0.02,21.05,
Mo,12/03/1990,124.9,226.21,506.97,0.02,20.07,
,,,,,,,
Fr,09/03/1990,125.96,228.11,511.25,0.02,20.3,
Th,08/03/1990,126.57,230.11,513.68,0.02,19.74,
We,07/03/1990,125.63,229.87,509.91,0.02,19.1,
Tu,06/03/1990,126.35,234.42,512.63,0.02,20.55,
Mo,05/03/1990,126.17,233.68,511.93,0.02,22.03,
,,,,,,,
Fr,02/03/1990,126.4,232.33,512.87,0.02,21.34,
Th,01/03/1990,125.84,229.94,510.67,0.02,21.9,
We,28/02/1990,127.09,229.76,515.89,0.02,21.99,
Tu,27/02/1990,125.78,227.18,510.63,,22.69,
Mo,26/02/1990,124.45,226.09,505.18,,23.56,
,,,,,,,
Fr,23/02/1990,126.69,228.69,514.35,0.02,23.69,
Th,22/02/1990,128.98,231.78,523.59,0.02,22.54,
We,21/02/1990,129.34,233.97,524.86,0.02,23.89,
Tu,20/02/1990,131.3,237.33,532.74,0.02,22.78,
Mo,19/02/1990,133.14,239.26,540.17,0.02,,
,,,,,,,
Fr,16/02/1990,133.69,236.7,542.47,0.02,20.78,
Th,15/02/1990,133.66,239.02,542.22,0.02,19.71,
We,14/02/1990,132.77,233.25,538.9,0.02,22.05,
Tu,13/02/1990,132.48,235.04,537.61,0.02,23.76,
Mo,12/02/1990,132.87,235.88,539.26,0.02,24.38,
,,,,,,,
Fr,09/02/1990,133.37,233.94,541.46,0.01,23.69,
Th,08/02/1990,133.96,233.26,543.91,0.01,23.77,
We,07/02/1990,134.01,231.47,544.25,0.01,24.29,
Tu,06/02/1990,134.41,228.6,546.06,0.01,24.69,
Mo,05/02/1990,134.26,227.77,545.43,0.01,24.54,
,,,,,,,
Fr,02/02/1990,133.87,225.24,543.85,0.01,24.32,
Th,01/02/1990,133.31,222.41,541.56,0.01,24.87,
We,31/01/1990,132.91,221.27,539.94,0.01,25.36,
Tu,30/01/1990,132.64,220.49,538.86,0.01,27.25,
Mo,29/01/1990,133.06,220.72,540.47,0.01,26.44,
,,,,,,,
Fr,26/01/1990,131.88,221.36,535.62,0.01,26.28,
Th,25/01/1990,131.56,223,534.25,0.01,25.63,
We,24/01/1990,131.59,224.25,534.26,0.01,25.39,
Tu,23/01/1990,132.16,226.83,536.54,0.01,24.72,
Mo,22/01/1990,132.08,226.63,536.2,0.01,26.7,
,,,,,,,
Fr,19/01/1990,132.88,225.79,539.58,0.01,22.5,
Th,18/01/1990,132.89,223.75,539.73,0.01,24.34,
We,17/01/1990,133.82,224.3,543.64,0.01,24.16,
Tu,16/01/1990,134.15,224.42,544.89,0.01,24.18,
Mo,15/01/1990,135.64,226.49,551.03,0.01,26.34,
,,,,,,,
Fr,12/01/1990,136.46,232.69,554.28,0.01,24.64,
Th,11/01/1990,138.25,230.02,561.59,0.01,20.05,
We,10/01/1990,137.86,229.57,560.07,0.01,22.44,
Tu,09/01/1990,138.64,228.72,563.24,0.01,22.2,
Mo,08/01/1990,139.8,226.89,567.96,0.01,20.26,
,,,,,,,
Fr,05/01/1990,139.45,228.91,566.36,0.01,20.11,
Th,04/01/1990,140.59,227.3,571.02,0.01,19.22,
We,03/01/1990,140.08,220.45,569.1,0.01,18.19,
Tu,02/01/1990,140.01,217.3,568.96,0.01,17.24,
Mo,01/01/1990,139.57,214.69,567.34,,,
,,,,,,,
Fr,29/12/1989,139.57,214.7,567.34,0.01,,
Th,28/12/1989,139.18,214.18,565.78,0.01,,
We,27/12/1989,139.48,213.29,566.96,0.01,,
Tu,26/12/1989,138.5,212.02,562.87,0.01,,
Mo,25/12/1989,137.13,209.17,557.41,,,
,,,,,,,
Fr,22/12/1989,137.13,209.07,557.41,0.01,,
Th,21/12/1989,136.33,205.52,554.26,0.01,,
We,20/12/1989,136.1,204.69,553.3,0,,
Tu,19/12/1989,136.17,205.57,553.51,0,,
Mo,18/12/1989,137.13,206.21,557.41,0,,
,,,,,,,
Fr,15/12/1989,137.79,203.65,560.27,0,,
Th,14/12/1989,137.67,202.73,559.8,0,,
We,13/12/1989,138.34,201.36,562.53,0,,
Tu,12/12/1989,137.53,196.92,559.33,0,,
Mo,11/12/1989,136.78,192.9,556.42,0,,
,,,,,,,
Fr,08/12/1989,136.85,193.58,556.64,0,,
Th,07/12/1989,136.85,192.7,556.65,0,,
We,06/12/1989,137.11,192.05,557.71,0,,
Tu,05/12/1989,136.49,191.28,555.16,0,,
Mo,04/12/1989,136.46,191.4,555,0,,
,,,,,,,
Fr,01/12/1989,135.84,191.57,552.49,0,,
Th,30/11/1989,135.36,191.64,550.53,0,,
We,29/11/1989,134.42,191.93,546.65,0,,
Tu,28/11/1989,133.77,191.3,543.94,0,,
Mo,27/11/1989,133.7,191.73,543.55,0,,
,,,,,,,
Fr,24/11/1989,132.59,195.38,538.84,0,,
Th,23/11/1989,131.45,198.17,534.05,0,,
We,22/11/1989,131.41,198.53,533.85,0,,
Tu,21/11/1989,130.54,197.22,530.41,0,,
Mo,20/11/1989,130.2,194.34,529.17,0,,
,,,,,,,
Fr,17/11/1989,130.69,192.7,531.21,0,,
Th,16/11/1989,130.76,193.04,531.54,0,,
We,15/11/1989,130.82,194.6,531.73,,,
Tu,14/11/1989,130.14,192.43,529.09,0,,
Mo,13/11/1989,130.19,189.69,529.5,0,,
,,,,,,,
Fr,10/11/1989,130.24,191.45,529.66,0,,
Th,09/11/1989,129.95,192.53,528.5,0,,
We,08/11/1989,129.47,191.17,526.62,0,,
Tu,07/11/1989,128.47,192.54,522.4,0,,
Mo,06/11/1989,128.6,195.38,522.81,0,,
,,,,,,,
Fr,03/11/1989,129.64,199.11,526.94,0,,
Th,02/11/1989,129.67,201.28,527,,,
We,01/11/1989,130.28,202.16,529.49,0,,
Tu,31/10/1989,130.46,201.31,530.23,0,,
Mo,30/10/1989,129.45,202.01,526.14,0,,
,,,,,,,
Fr,27/10/1989,129.33,203.12,525.69,0,,
Th,26/10/1989,130.69,205.27,531.17,0,,
We,25/10/1989,130.98,205.12,532.36,0,,
Tu,24/10/1989,131.22,206.6,533.4,0,,
Mo,23/10/1989,131.58,206.09,534.95,0,,
,,,,,,,
Fr,20/10/1989,131.64,205.38,535.2,0,,
Th,19/10/1989,131.58,201.44,535.15,0,,
We,18/10/1989,129.92,197.04,528.4,0,,
Tu,17/10/1989,129.49,198.87,526.57,0,,
Mo,16/10/1989,128.45,194.37,522.32,0,,
,,,,,,,
Fr,13/10/1989,129.06,208.37,524.73,0,,
Th,12/10/1989,131.21,209.57,533.44,0,,
We,11/10/1989,131.78,208.63,535.78,0,,
Tu,10/10/1989,132.94,207.73,540.57,0,,
Mo,09/10/1989,133.77,209.76,543.85,,,
,,,,,,,
Fr,06/10/1989,133.7,209.11,543.58,0,,
Th,05/10/1989,134.35,203.64,546.48,0,,
We,04/10/1989,134.59,200.54,547.55,0,,
Tu,03/10/1989,134.74,197.18,548.21,0,,
Mo,02/10/1989,134.99,201.28,549.1,0,,
,,,,,,,
Fr,29/09/1989,135.04,198.98,549.42,0,,
Th,28/09/1989,134.38,196.75,546.78,0,,
We,27/09/1989,133.97,193.86,545.21,0,,
Tu,26/09/1989,133.38,191.81,542.86,0,,
Mo,25/09/1989,132.26,191.1,538.34,0,,
,,,,,,,
Fr,22/09/1989,130.46,189.59,530.98,0,,
Th,21/09/1989,130.74,189.63,532.2,0,,
We,20/09/1989,130.57,188.99,531.5,0,,
Tu,19/09/1989,130.3,187.19,530.52,0,,
Mo,18/09/1989,130.02,186.65,529.41,0,,
,,,,,,,
Fr,15/09/1989,128.53,185.76,523.27,0,,
Th,14/09/1989,129.48,186.27,527.18,0,,
We,13/09/1989,129.36,185.99,526.72,0,,
Tu,12/09/1989,129.74,186.09,528.31,0,,
Mo,11/09/1989,129.11,184.28,525.87,0,,
,,,,,,,
Fr,08/09/1989,129.7,182.95,528.38,0,,
Th,07/09/1989,129.4,180.56,527.15,,,
We,06/09/1989,130.14,179.72,530.23,0,,
Tu,05/09/1989,130.7,178.62,532.52,0,,
Mo,04/09/1989,131.19,179.72,534.52,0,,
,,,,,,,
Fr,01/09/1989,131.27,178.15,534.94,0,,
Th,31/08/1989,131.3,177,535.17,0,,
We,30/08/1989,131.9,176.71,537.66,0,,
Tu,29/08/1989,131.79,177.43,537.2,0,,
Mo,28/08/1989,131.59,177.45,536.38,0,,
,,,,,,,
Fr,25/08/1989,132.18,178.34,538.78,0,,
Th,24/08/1989,132.3,178.88,539.19,0,,
We,23/08/1989,131.8,178.61,537.21,0,,
Tu,22/08/1989,131.39,178.03,535.53,0,,
Mo,21/08/1989,131.71,178.45,536.88,0,,
,,,,,,,
Fr,18/08/1989,132.03,177.51,538.24,0,,
Th,17/08/1989,131.56,176.74,536.33,0,,
We,16/08/1989,132.27,175.37,539.4,0,,
Tu,15/08/1989,131.84,174.51,537.61,0,,
Mo,14/08/1989,131.82,175.29,537.48,0,,
,,,,,,,
Fr,11/08/1989,132.82,175.54,541.61,0,,
Th,10/08/1989,134.54,174.41,548.75,0,,
We,09/08/1989,134.29,172.58,547.65,0,,
Tu,08/08/1989,134.23,173.17,547.37,0,,
Mo,07/08/1989,133.35,172.95,543.71,0,,
,,,,,,,
Fr,04/08/1989,132.91,172.63,541.99,0,,
Th,03/08/1989,133.73,172.14,545.41,0,,
We,02/08/1989,135.14,171.57,551.25,0,,
Tu,01/08/1989,134.38,173.07,548,0,,
Mo,31/07/1989,134.69,173.49,549.29,0,,
,,,,,,,
Fr,28/07/1989,132.43,175,539.99,0,,
Th,27/07/1989,132.57,174.5,540.61,0,,
We,26/07/1989,130.67,173.63,532.87,0,,
Tu,25/07/1989,129.06,172.34,526.34,0,,
Mo,24/07/1989,128.16,170.78,522.67,0,,
,,,,,,,
Fr,21/07/1989,128.74,170.32,525.07,0,,
Th,20/07/1989,127.75,171.54,520.93,0,,
We,19/07/1989,127.67,172.13,520.57,0,,
Tu,18/07/1989,126.79,171.23,517,0,,
Mo,17/07/1989,126.88,171.1,517.33,0,,
,,,,,,,
Fr,14/07/1989,127.76,171.3,520.96,0,,
Th,13/07/1989,128.12,165.24,522.74,0,,
We,12/07/1989,127.7,170.6,520.81,0,,
Tu,11/07/1989,127.3,169.32,519.17,0,,
Mo,10/07/1989,127.25,170.04,518.91,0,,
,,,,,,,
Fr,07/07/1989,126.28,167.77,515,0,,
Th,06/07/1989,125.37,163.52,511.4,0,,
We,05/07/1989,124.37,161.18,507.36,0,,
Tu,04/07/1989,123.16,158.79,502.44,0,,
Mo,03/07/1989,122.66,158.06,500.38,0,,
,,,,,,,
Fr,30/06/1989,121.23,163.28,494.29,0,,
Th,29/06/1989,122.24,163.78,498.44,0,,
We,28/06/1989,123.17,161.43,502.24,0,,
Tu,27/06/1989,124.73,161.19,508.61,0,,
Mo,26/06/1989,124.49,162.04,507.53,0,,
,,,,,,,
Fr,23/06/1989,125.2,165.03,510.35,0,,
Th,22/06/1989,123.43,166.62,503.05,0,,
We,21/06/1989,121.4,165.59,494.75,0,,
Tu,20/06/1989,121.71,165.15,495.98,0,,
Mo,19/06/1989,120.82,164.07,492.41,0,,
,,,,,,,
Fr,16/06/1989,120.36,164.44,490.5,0,,
Th,15/06/1989,118.01,167.2,480.7,0,,
We,14/06/1989,120.08,167.42,489.16,0,,
Tu,13/06/1989,119.74,171.48,487.57,0,,
Mo,12/06/1989,120.72,178.93,491.24,0,,
,,,,,,,
Fr,09/06/1989,122.23,177.8,497.47,0,,
Th,08/06/1989,123.55,178.44,502.8,0,,
We,07/06/1989,123.36,179.69,501.97,0,,
Tu,06/06/1989,122.37,182.5,497.75,0,,
Mo,05/06/1989,123.01,188.76,500.25,0,,
,,,,,,,
Fr,02/06/1989,123.84,190.51,503.6,0,,
Th,01/06/1989,123.29,187.73,501.36,0,,
We,31/05/1989,123.16,186.08,500.76,0,,
Tu,30/05/1989,122.7,182.23,499.02,0,,
Mo,29/05/1989,123.43,181.61,501.97,0,,
,,,,,,,
Fr,26/05/1989,124.7,179.76,507.31,0,,
Th,25/05/1989,123.15,179.78,500.88,,,
We,24/05/1989,122.57,180.92,498.42,0,,
Tu,23/05/1989,123.16,179.31,500.98,0,,
Mo,22/05/1989,123.82,182.33,503.54,0,,
,,,,,,,
Fr,19/05/1989,125.64,185.44,510.93,0,,
Th,18/05/1989,124.66,185.1,506.93,0,,
We,17/05/1989,124.87,185.24,507.81,0,,
Tu,16/05/1989,125.62,183.79,510.94,0,,
Mo,15/05/1989,125.21,182.85,509.36,0,,
,,,,,,,
Fr,12/05/1989,126.44,181.11,514.43,0,,
Th,11/05/1989,125.9,183.75,512.15,0,,
We,10/05/1989,125.94,184.6,512.33,0,,
Tu,09/05/1989,125.72,186.04,511.35,0,,
Mo,08/05/1989,126.24,187,513.48,0,,
,,,,,,,
Fr,05/05/1989,126.32,184.59,513.95,0,,
Th,04/05/1989,126.37,184.07,514.17,0,,
We,03/05/1989,126.4,186.98,513.6,0,,
Tu,02/05/1989,126.32,186.21,513.86,0,,
Mo,01/05/1989,126.1,184.35,513.08,,,
,,,,,,,
Fr,28/04/1989,126.37,184.24,514.19,0,,
Th,27/04/1989,126.25,184.74,513.69,0,,
We,26/04/1989,125.58,183.17,511.04,0,,
Tu,25/04/1989,125.73,180.36,511.72,0,,
Mo,24/04/1989,125.46,180.89,510.66,0,,
,,,,,,,
Fr,21/04/1989,126,178.71,512.93,0,,
Th,20/04/1989,125.55,175.64,511.21,0,,
We,19/04/1989,125.98,174.32,513.01,0,,
Tu,18/04/1989,126.18,172.69,513.85,0,,
Mo,17/04/1989,125.38,173.54,510.6,,,
,,,,,,,
Fr,14/04/1989,124.66,172.69,507.63,0,,
Th,13/04/1989,123.88,169.91,504.6,0,,
We,12/04/1989,124,165.84,505.18,0,,
Tu,11/04/1989,124.09,164.06,505.63,0,,
Mo,10/04/1989,123.53,161.38,503.45,0,,
,,,,,,,
Fr,07/04/1989,124.2,159.36,506.27,0,,
Th,06/04/1989,124.08,159.92,505.77,0,,
