Date,Open,High,Low,Close
05/02/2025,"1,997.73","2,026.53","1,997.73","2,020.74"
05/01/2025,"1,974.78","1,990.70","1,960.49","1,975.86"
04/30/2025,"1,950.07","1,969.40","1,925.35","1,964.12"
04/29/2025,"1,957.94","1,982.84","1,948.16","1,976.52"
04/28/2025,"1,960.39","1,973.94","1,942.02","1,965.55"
04/25/2025,"1,944.73","1,957.62","1,934.38","1,957.62"
04/24/2025,"1,922.46","1,958.71","1,919.05","1,957.59"
04/23/2025,"1,938.31","1,967.92","1,914.62","1,919.14"
04/22/2025,"1,863.94","1,892.92","1,860.81","1,890.28"
04/21/2025,"1,862.71","1,863.21","1,823.39","1,840.32"
04/17/2025,"1,863.50","1,887.64","1,861.30","1,880.62"
04/16/2025,"1,872.76","1,879.90","1,842.15","1,863.48"
04/15/2025,"1,879.68","1,902.32","1,874.99","1,882.92"
04/14/2025,"1,890.66","1,892.88","1,848.53","1,880.88"
04/11/2025,"1,827.66","1,860.85","1,802.23","1,860.21"
04/10/2025,"1,864.77","1,864.77","1,788.98","1,831.40"
04/09/2025,"1,743.19","1,930.61","1,732.99","1,913.16"
04/08/2025,"1,850.91","1,868.99","1,738.82","1,760.71"
04/07/2025,"1,775.12","1,891.16","1,733.16","1,810.15"
04/04/2025,"1,866.00","1,866.00","1,783.06","1,827.03"
04/03/2025,"1,981.67","1,981.67","1,909.70","1,910.55"
04/02/2025,"1,998.33","2,048.15","1,986.33","2,045.36"
04/01/2025,"2,007.59","2,027.00","1,985.67","2,012.24"
03/31/2025,"1,997.97","2,021.95","1,973.08","2,011.91"
03/28/2025,"2,063.31","2,063.31","2,013.00","2,023.27"
03/27/2025,"2,072.48","2,079.30","2,057.61","2,065.70"
03/26/2025,"2,097.18","2,103.71","2,066.30","2,073.83"
03/25/2025,"2,108.25","2,110.08","2,090.04","2,095.38"
03/24/2025,"2,075.48","2,110.54","2,075.48","2,109.38"
03/21/2025,"2,057.79","2,060.77","2,040.14","2,056.98"
03/20/2025,"2,068.60","2,089.98","2,060.49","2,068.63"
03/19/2025,"2,051.28","2,092.03","2,051.28","2,082.08"
03/18/2025,"2,060.97","2,060.97","2,043.87","2,049.94"
03/17/2025,"2,041.52","2,073.92","2,039.97","2,068.33"
03/14/2025,"2,008.53","2,044.51","2,008.53","2,044.10"
03/13/2025,"2,026.08","2,031.16","1,984.92","1,993.69"
03/12/2025,"2,037.91","2,050.21","2,012.58","2,026.47"
03/11/2025,"2,022.52","2,043.49","2,001.19","2,023.59"
03/10/2025,"2,058.09","2,058.09","2,003.42","2,019.07"
03/07/2025,"2,065.50","2,084.40","2,033.69","2,075.48"
03/06/2025,"2,081.57","2,093.39","2,055.42","2,066.55"
03/05/2025,"2,080.49","2,102.95","2,066.15","2,100.75"
03/04/2025,"2,083.70","2,112.10","2,048.01","2,079.53"
03/03/2025,"2,168.02","2,173.57","2,092.17","2,102.24"
02/28/2025,"2,135.59","2,163.23","2,126.08","2,163.07"
02/27/2025,"2,175.13","2,177.79","2,139.41","2,139.66"
02/26/2025,"2,175.44","2,199.92","2,166.86","2,174.17"
02/25/2025,"2,180.47","2,184.76","2,154.36","2,170.08"
02/24/2025,"2,200.71","2,202.06","2,169.54","2,178.27"
02/21/2025,"2,275.96","2,282.63","2,194.11","2,195.35"
02/20/2025,"2,280.30","2,280.30","2,250.11","2,261.74"
02/19/2025,"2,278.29","2,288.75","2,273.64","2,282.46"
02/18/2025,"2,281.56","2,294.59","2,277.17","2,290.35"
